Angulo pulgar,Angulo indice,Angulo corazón,Angulo anular,Angulo meñique,Ancho pulgar,Ancho indice,Ancho corazón,Ancho anular,Ancho menique,Pulgar extendido,Indice extendido,Corazon extendido,Anular extendido,Menique extendido,Pulgar contraido','Indice contraido','Corazón contraido','Anular contraido,Menique contraído,Numero de dedos','Hu_1','Hu_2','Hu_3','Hu_4','Hu_5','Hu_6',Hu_7,Redondez,Clase
1.693236171246596484e+02,-2.336548276104840838e+01,2.498091189202034812e+01,-4.973650006884425068e+01,9.048061867215594134e+00,4.017745340087330419e+00,-3.346491019548268886e-01,5.599108400481893622e-01,-9.552167091536548638e-01,8.417246875204380530e-01,1.037612555738100406e+00,-8.491128373144921082e-02,-6.939030821589494691e-01,-1.478628673838147667e-01,1.243379986128172021e+00,-9.942703954116665077e-01,9.456942403303790490e-02,2.240689138789095369e-03,2.479463683489234738e-01,1.905486338018070880e-01,4.003734251905005648e-01,-1.977606502480175055e-01,3.122978418926461094e-02,-9.561857091718718726e-02,-4.736973168882757657e-02,1.891751031164142123e-03,2.948741947313448554e-04,-6.544123795962939003e-06,-3.824281544143953176e-06,0.0
1.461595109444861009e+02,-1.638035669916342840e+01,-6.067183937729609511e+00,-3.179756388303954040e+01,7.566373694642119396e+00,3.695509232222059737e+00,5.270245962676826934e-02,4.045495645134506990e-01,-6.923892342287505386e-01,9.713021603241535074e-01,8.515822982190635049e-01,-1.514374770244183988e-01,-1.168641074077011899e+00,-4.564672413701987841e-01,1.048676785242624421e+00,-1.063315262222877644e+00,-1.698885164039309059e-01,-3.995829253392074731e-01,-1.070122654458391942e-01,1.878350116411582268e-02,3.436123218144725433e-01,-2.943312882392820629e-01,3.754879813547545159e-02,-9.172130916774662301e-02,-4.587113971143755298e-02,1.988823708700427143e-03,3.120974401060873740e-04,-5.604019514725928730e-06,-5.198852864519438305e-06,1.0
6.305051335893478637e+01,1.155951840159508350e+02,6.568057360280364776e+01,-1.138017702465669174e+02,3.040898118777002423e+01,2.912132004380906469e+00,6.787125632286779287e-02,1.384332696547282859e+00,-7.977291975576001892e-01,4.784232193898138585e-01,8.855350793497572814e-01,-2.935805707908141493e-02,-6.856772076308128572e-01,-3.100588221567212033e-01,6.680657889787038339e-01,-8.730134326021785629e-01,-3.070877247090065265e-01,-4.673469921517474646e-01,3.182287525566433045e-02,3.787596847746804163e-01,3.196461136068203812e-01,-1.375890433245038347e-01,2.193999900806390194e-02,-9.725038219929170447e-02,-4.298638921826300474e-02,2.690492964403416992e-03,2.514657491140761961e-04,-6.856880779277568667e-06,-3.123876761840099289e-06,1.0
3.740596744933328637e+02,2.136624487402670081e+00,2.129148055660899388e+02,-9.178175529247225484e+01,3.343142299211196189e+01,3.743528567210463454e+00,-8.766539527138752508e-01,1.050284227234282275e+00,6.098864843649624001e-01,1.064012888263789147e+00,1.183066137806901175e+00,-2.986917881924521304e-02,-5.009319770669792282e-01,-8.173436217162130535e-02,1.203401542279828318e+00,-7.009446336209972372e-01,-3.850842831841402303e-01,-2.954998176423372369e-01,9.873617173614979148e-02,1.169553530204188313e-01,4.254265795188391652e-01,-1.977115930247094200e-01,6.444267271154613397e-02,-9.333424299449463724e-02,-4.302753062752678187e-02,1.665387996785087574e-03,2.387378002084954284e-04,-1.016814481822827946e-05,-3.755035078482229859e-06,1.0
3.707691567335532312e+01,2.303826446756395541e+01,1.135909167053662969e+02,-7.307523743665871052e+01,9.274949612935456855e+01,2.425909582323873437e+00,-2.356506246827191065e-01,6.048031487061208411e-01,-2.096029376878149886e-01,7.004408549894831637e-01,8.193561670131286334e-01,1.219949992166086544e-01,-7.227464832479215673e-01,-1.427402493495792679e-01,1.133402844323073033e+00,-1.294395683882452852e+00,-7.049679752144502598e-02,-2.636799228640480108e-01,5.670580342927066669e-02,1.238141022745702508e-01,4.588547795401848317e-01,-1.715129064564685779e-01,1.457865181296112700e-02,-1.041059814918578186e-01,-4.622896148873680000e-02,1.719528545768095546e-03,2.503918375767255145e-04,-8.694649710287945309e-06,-5.632902688159419546e-06,1.0
1.089445700017855785e+02,1.269264334353161274e+02,1.690630358451035704e+02,-1.303513679150212567e+02,2.611907810948721576e+01,3.513342768975804553e+00,-6.094082628062139628e-01,5.634560909157285691e-01,-3.652495125315511904e-01,3.606647177422514505e-01,9.664045204170098602e-01,-7.289029507492396365e-02,-9.004925289260539145e-01,-5.017786345324203312e-01,7.760324544945580438e-01,-1.312415425720210971e+00,3.739617153931698579e-01,-6.909321397030624423e-01,1.677835282462921962e-01,7.787576300640296212e-02,3.569866278267198600e-01,-1.786658687227945796e-01,3.730910936433232128e-02,-8.890510126947805125e-02,-4.373300092261206418e-02,1.884194507808972015e-03,2.597845327866904084e-04,-7.754364097624497407e-06,-3.946926344676027284e-06,1.0
1.567246484067654535e+02,-3.268816430068958567e+01,-1.738637368204532763e+01,-3.594618501782160536e+01,-5.202779734211393503e+00,3.385484773511460155e+00,2.131775359127897618e-01,5.468857481372383367e-01,-1.172612096681093785e+00,7.190985550853998820e-01,1.326151629465414983e+00,3.346016134429120048e-01,-8.664678803721839184e-01,-6.870267267705665315e-02,8.167048925427923267e-01,-1.092127612617054266e+00,4.463561387764872906e-02,-6.314281484758833551e-01,1.595342317246859973e-02,1.068495299030788465e-01,4.401117426907531494e-01,-8.879687297792492051e-02,5.178845667280600890e-02,-1.017809440671291615e-01,-4.555432860049865584e-02,1.672952661522834894e-03,2.968549684398579165e-04,-1.016489774728209019e-05,-4.279879352995200131e-06,1.0
3.287060347511970804e+02,-2.499587658267664736e+01,5.480133188864930105e+01,-5.993876940747397697e+01,8.325915945765780535e-01,1.879819550191937472e+00,3.137310285772976215e-01,2.455677188495728469e+00,-5.623043247268010303e-01,2.089060053908856851e+00,8.065110717760477499e-01,-1.227624541979732559e-01,-7.685814934007263455e-01,-3.142240235138886728e-01,1.360277764984626936e+00,-9.070687262053479527e-01,1.443142639336336130e-01,-4.949086753309133169e-01,1.905236192173807019e-01,2.436117986348376729e-01,3.522483109791090805e-01,-2.003946456604324133e-01,3.252593724079717169e-02,-9.431093961855782637e-02,-4.902650482954017119e-02,8.534207828409736026e-04,2.768158154696507612e-04,-8.523179573022810913e-06,-3.621684757945381162e-06,1.0
3.930432186215795554e+01,-8.263237823769575385e+00,1.036228399272361145e+02,5.389639162135775319e-01,-7.027393305088483366e+00,9.246797631774672510e-01,3.649772542825565624e-01,2.767674998600748726e-01,-2.760441790067327261e-01,5.334485611456782905e-01,5.027738381110108401e-01,-1.673390283670141976e-01,-6.827119192858641661e-01,-2.609691677447847358e-01,6.293628004390722230e-01,-6.086858846372413812e-01,7.880663456317120452e-02,-3.859954976663372284e-01,1.265648358972365772e-01,6.625844947494637094e-02,3.662788885292810881e-01,-1.879183073869842846e-01,1.293606550253658879e-02,-9.247218541533816505e-02,-4.513227966228722937e-02,1.626256098027579512e-03,3.183185021966957384e-04,-1.118142953127449784e-05,-5.045699776047745407e-06,0.0
5.313409367218336854e+01,8.124559823706547945e+01,5.740410670784424241e+01,-6.933065660395740792e+01,-3.204933217252149635e+00,2.958085086230129335e+00,6.903851116507625507e-02,6.785313266849459790e-01,-7.152939470880699258e-01,1.617880597947393584e+00,8.593686959148088000e-01,-1.859373471780366716e-01,-4.464345986087993601e-01,3.950282231951500467e-02,8.103196805842681760e-01,-1.074613408976589524e+00,1.075333375613409942e-01,-4.770331407578061178e-01,4.313932335137011381e-03,1.842770203357186054e-01,4.748035923324153695e-01,-1.936214318308408788e-01,3.418148814127423135e-02,-9.006951407165181278e-02,-4.309202891582307460e-02,1.106965526372937110e-03,1.941181447403864926e-04,-5.627711883661281521e-06,-4.516348858011460626e-06,0.0
6.204802947478489727e+01,1.216636831634505853e+02,4.290439124562006867e+01,-1.010453213714840643e+02,-2.362807618578827817e+00,2.342502172861061993e+00,8.342592145657670155e-01,2.027591450620030322e+00,-1.452814455317884779e+00,1.126472227754143907e+00,9.083212642468969644e-01,-2.413977891469026582e-01,-9.234411435968968851e-01,-3.292557935565157412e-01,1.206159246282865860e+00,-1.137538746091944608e+00,1.620345212644946353e-01,-2.996657329953093529e-01,1.200126557124441690e-01,6.274283645755263095e-02,3.645401070020976575e-01,-1.403833511623533425e-01,4.663545462619483190e-02,-8.424825184418652246e-02,-4.320147407065404871e-02,1.650075806357474044e-03,3.520561342279154632e-04,-8.353116219894044314e-06,-3.204600221651570403e-06,1.0
2.135677445483104862e+02,-1.272299369038404571e+01,1.509151376692152837e+02,-5.885856225453669310e+01,-3.518570355814772732e+00,4.707843714699722071e+00,5.227448843774080700e-01,-5.373261547044216879e-01,-1.248086725172680600e+00,1.025518117367637982e+00,2.569792482290447766e-01,1.463348702353151065e-02,-1.114057201046324996e+00,-7.485763141525889619e-01,6.891725198059637236e-01,-1.158839932210256718e+00,-7.728581085458056943e-02,-2.140361365406648897e-01,1.942124694782455807e-01,3.384486901045679064e-01,4.286786505557938498e-01,-1.939704218853464113e-01,4.846178592552867481e-02,-8.789779047850894422e-02,-4.413217056763852481e-02,1.120121132041989286e-03,2.469208231659902062e-04,-8.568438032534384500e-06,-4.639512305871681886e-06,1.0
2.038467978108914735e+02,-2.634293181831760222e+01,1.128548426897879864e+02,-2.624050441948438106e+01,4.953058514112764321e+00,4.284011227073076356e+00,-2.572906620451432813e-01,8.097539564107215648e-01,-1.616190274246326108e+00,1.272584820507058678e+00,8.943420611471295523e-01,1.490348673530204338e-01,-1.787908570309051093e-01,-5.251068333464831150e-01,9.221503748775541354e-01,-8.682357673231581030e-01,9.198648100612863421e-02,-3.379070314484237114e-01,-3.290187193905503849e-01,1.040652037492174331e-01,2.984929917178166803e-01,-2.329848782308688027e-01,4.686813551619722906e-02,-8.687796788925296332e-02,-4.271427727786941686e-02,1.838384646749531082e-03,3.101810971927489429e-04,-6.748544374838086674e-06,-4.655068502716121463e-06,1.0
2.210759857690353840e+02,2.207966327494448819e+02,2.228926224861006489e+01,-2.842400638892351239e+01,9.560902401244776172e+01,4.428628237353998465e+00,2.219586018721574128e+00,-1.197514859855970615e+00,-5.333545669430002079e-01,1.961921610074178313e+00,3.018843380591762493e-01,8.639996709485750796e-04,-6.009504607842522939e-01,2.080889162011291538e-02,1.203206804862925194e+00,-7.622072833158520799e-01,7.026422897116385569e-03,-4.253930719882900169e-01,1.457166101057344176e-01,1.181262686368093895e-01,3.690241822846640485e-01,-1.847607335891264801e-01,3.932052710123568745e-02,-9.648008816762890238e-02,-4.399949656893273331e-02,1.842952800539286251e-03,3.216579893623838348e-04,-7.661722734574173503e-06,-3.418694627766728372e-06,1.0
1.431769153961693632e+02,1.076885348074657678e+01,2.051309970443741904e+01,-5.016165136769827626e+01,1.510994544791844874e+01,4.211446065996698351e+00,2.219352967882487482e-01,7.819862997294234619e-01,-5.550831624614799287e-01,9.798885655535460870e-01,6.598172646701220279e-01,2.414790095840723128e-01,-1.126198929072995458e+00,-5.622579975121463347e-01,9.020291444921813007e-01,-1.136497563262810484e+00,1.145528707293219789e-01,-1.946696841866474570e-01,2.693001008725437462e-01,6.240163240271576900e-02,4.471885297660178060e-01,-1.814397653013704592e-01,3.889441895211705885e-02,-8.746184977438269115e-02,-4.525240213071581724e-02,1.860716310937952358e-03,2.362175322567151479e-04,-6.122930709749847537e-06,-3.382625566757573786e-06,0.0
1.193756666968769409e+01,2.520448810919397431e+01,4.569042484253830594e+01,-6.598171105708279072e+01,8.719105288270618814e+01,2.047866007649062237e+00,-4.683317834291098221e-03,8.820680831150371493e-01,-3.092193243520189316e-01,6.443634635465002036e-01,8.085410600039788509e-01,9.877457055001344355e-02,-7.129974506640877063e-01,-2.201776663206449214e-01,1.184751101064571932e+00,-1.272639209437872676e+00,-1.575895917725709042e-02,-2.698689567386213239e-01,1.793332958625678056e-02,1.655684702176837275e-01,3.940426440694596022e-01,-1.588767909260571931e-01,5.125299412953771006e-02,-9.082356063165537841e-02,-4.164218085500039773e-02,1.513632181665775520e-03,3.554159418704206166e-04,-5.688858082823063667e-06,-4.649021752806306761e-06,1.0
1.425391284058766495e+01,-2.998542193704909486e+00,3.756438388515410765e+01,1.930758333369922697e-01,-2.551812742277158375e+00,7.985866114376509728e-01,1.784019406859047030e-01,2.786079804648984859e-01,-4.228179491134214513e-02,1.926160683715950894e-01,2.525008577767715034e-01,-2.708845702581225701e-01,-7.455910657016974197e-01,-4.454215691190462900e-01,1.012828082959312370e+00,-7.310196925467433715e-01,1.262453873676801785e-01,-2.357070623772130891e-01,4.466135581862355070e-02,1.344535744176753589e-01,4.000437739899480039e-01,-1.485338638783587351e-01,4.532986225154650439e-02,-8.798677719460326618e-02,-4.413696011937393721e-02,1.675040400852096127e-03,2.518076013141694607e-04,-9.228317648818910477e-06,-2.351050161629964423e-06,0.0
1.534209411234650702e+02,-2.506432159584207398e+01,6.098503678951482598e+00,-4.078642882624167498e+01,1.145802455082270299e+00,3.667738962471671638e+00,-1.750553056228173684e-02,2.890057718749378113e-01,-5.780147605691511314e-01,1.053322726315842450e+00,7.696244872436301954e-01,-1.326423372816710466e-01,-1.243457353772316809e+00,-3.481384587937860209e-01,9.989430507072409871e-01,-1.073922914393429684e+00,-1.707603177743201306e-01,-4.300117086032987923e-01,3.649049739625664229e-02,7.030066827893179104e-02,3.545486037597129214e-01,-2.166728640799656935e-01,2.713392405069314089e-02,-1.089344219193025959e-01,-3.972265520904290359e-02,1.049424032192089679e-03,2.366292224302006964e-04,-5.982179083690545005e-06,-3.406588490060698052e-06,1.0
1.401077078233934685e+02,8.729472609280641393e+01,5.825017850393634689e+01,2.747131090844954571e+01,4.115729169402027310e+01,3.786408507205323737e+00,-3.905323452618679470e-02,1.162332411051857806e+00,-2.420358163550334063e-01,7.270445279341812839e-01,8.718140643141373269e-01,-4.673966773728101542e-01,-3.119295866093725889e-01,-9.626516820846510170e-01,1.145454394344595173e+00,-1.120914989015696195e+00,-1.195031065872116105e-01,-4.261603939827274257e-01,-2.463717942042351755e-02,6.499951390173430710e-02,4.503514594780197444e-01,-1.215038260592754965e-01,2.681289713259544030e-02,-1.048311786224430109e-01,-4.717197505781584727e-02,1.691084227380726694e-03,2.929902637639987865e-04,-6.667090246780438011e-06,-4.029882328571327540e-06,1.0
