Numero de dedos,Angulo indice,Angulo corazon,Angulo anular,Angulo menique,Ancho pulgar,Ancho indice,Ancho corazon,Ancho anular,Ancho menique,Pulgar extendido,Indice extendido,Corazon extendido,Anular extendido,Menique extendido,Pulgar contraido,Indice contraido,Corazon contraido,Anular contraido,Menique contraido,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Redondez,Compacidad,Clase
2.0,262.3423423423423,0.0,0.0,0.0,0.1133214324490512,0.1247595597046363,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.8986871153859439,0.9000657088787642,0.0,0.0,0.0,0.21377330559069788,0.011095517601062128,0.0017077434260022915,0.00033228316200156944,2.3477678043275208e-07,2.9529245769651536e-05,-8.679685237741119e-08,0.02878546601081223,109.13815508179601,1.0
5.0,59.09909909909908,94.77477477477476,123.96396396396395,156.75675675675674,0.30160064502355116,0.28126047988651653,1.1578989187300395,0.5238928002927966,0.2449942680789645,1.4,1.4,1.4,0.9,1.4,0.2880945714206382,0.30597203649480115,0.9723995070098906,0.8999614236396857,0.14593161931020024,0.21545136150416738,0.011928684308654288,0.00045260420050817414,6.694034665018105e-05,8.901086283102393e-09,7.140250565291237e-06,-7.51890839393811e-09,0.005228133913802271,600.9013359998277,1.0
5.0,19.099099099099078,35.3153153153153,54.054054054054035,92.97297297297297,0.3955625867040512,0.3952,0.41363326752088014,0.4145976362691905,0.43253892310403697,1.4,1.4,1.4,1.4,1.4,0.35477091199815125,0.5315709548122434,1.3534543656880345,1.1079072885399754,0.3153461590062578,0.29156341224022114,0.048964947081173035,0.0014026696885356647,0.00025840073124611855,1.5485430846539198e-07,5.313482885893382e-05,1.4877093129865955e-08,0.032607350518898376,96.34614906135987,1.0
5.0,82.16216216216215,211.53153153153153,258.3783783783784,328.64864864864865,0.3379945998589397,0.41255042291595456,0.4695738915824339,0.7457897983441883,0.5531647893497817,1.4,1.4,1.4,1.4,1.4,5.134486164944843,1.7096648563372148,0.49005353851332606,3.7289489917209417,5.450271119154077,0.31356112739296754,0.03571949699221689,0.004440549157853028,0.0003631834676059544,6.33228131168767e-08,-5.523523496868766e-06,-4.5685166040575335e-07,0.00916330285536813,342.84500940066124,1.0
1.0,0.0,0.0,0.0,0.0,0.24525285806976568,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,2.794348370922958,0.0,0.0,0.0,0.0,0.17711223987989905,0.003000657069498463,0.0009153312055875606,2.497961232823329e-05,1.380027834531176e-09,5.234473280046546e-07,3.516050558500723e-09,0.1555799065450292,20.19279175155262,1.0
5.0,42.522522522522536,61.98198198198199,67.02702702702703,95.13513513513513,0.340334433384572,0.37607219354430615,0.20397667130529099,0.43228927568554393,0.44997438239348675,1.4,1.4,0.9,1.4,1.4,0.48054233711806565,0.7209752015060211,0.8985145825772041,1.0060076520631378,0.7449160504536446,0.3835760256240581,0.10500117416660656,0.0003378301768020615,6.089868701283867e-07,-8.588205725120025e-12,1.9565220081790316e-07,-1.5944643744804903e-12,0.0464505222366371,67.63309651472363,2.0
5.0,23.783783783783804,41.081081081081095,122.88288288288288,154.95495495495499,0.320310813735933,0.3200152558287156,0.45089306292580406,0.1250747327661123,0.8477920850071365,1.4,1.4,1.4,0.9,0.9,0.40570267068023835,0.4445621077053041,1.435932764936682,0.9002643692457525,0.9004335803159913,0.2113574504538848,0.012022837507371778,5.510953339460728e-05,5.3775056788684296e-05,2.5273071975109126e-09,3.76468233457581e-06,1.4773260610592246e-09,0.01581719927305525,198.61876931281546,2.0
5.0,95.49549549549549,109.90990990990991,205.4054054054054,230.99099099099098,1.3541943759459427,0.3388762471028922,0.2634682816619963,0.14722796856221035,0.1885782239735931,1.4,1.4,1.4,0.9,1.4,3.8419504116772702,0.657935183853192,0.873835982288498,0.8998628070314661,0.054049986922555346,0.22658652679980495,0.010756205310533725,0.0014247805999646319,7.493996973080914e-05,1.0880683768615365e-08,6.720061085837219e-06,2.1937362492820623e-08,0.009957057248759069,315.5141700105545,2.0
3.0,28.468468468468473,55.85585585585585,0.0,0.0,0.33901692438561415,0.7473706499436469,0.3765754596996996,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.5666872218843862,1.189349554927843,0.86678770154955,0.0,0.0,0.25841460384878123,0.03265015182101329,1.5914169577307736e-06,0.00015622527173114503,2.226015537999757e-09,2.8027225995423413e-05,1.0548681903592258e-09,0.037020970230153674,84.8598141555717,2.0
4.0,22.70270270270271,38.91891891891893,57.657657657657666,0.0,0.35717655322269554,0.377319927662578,0.39501182915881977,0.41353462307771083,0.0,1.4,1.4,1.4,1.4,0.0,0.5188212835597955,0.7981017409883824,1.5219512684192016,0.6215439091899323,0.0,0.26694365858425473,0.03889242496225302,9.574777887924584e-05,3.452360229165921e-05,4.587061376865435e-10,5.893586545142264e-06,-1.931169207391048e-09,0.03157073298539907,99.50965202622082,2.0
