Pulgar extendido,Indice extendido,Corazón extendido,Anular extendido,Meñique extendido,Pulgar contraído,Indice contraído,Corazón contraído,Anular contraído,Meñique contraído,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Perímetro,Area,Redondez,Compacidad,Clase
0,1,1,1,0,1,0,0,0,1,0.3954166386402809,0.11910492770493764,0.001134217098597917,0.00011316582203867288,-4.0238937487376084e-08,-3.5835055829611894e-05,-4.960004821065062e-09,4.272215391307084,3.5568748000568426,0.04871944212129112,64.48334621255587,4
0,1,1,1,1,1,0,0,0,0,0.365865975753048,0.09559445620570635,0.002417702981385936,0.000761085061281996,9.790333899924443e-07,0.00021829199118604664,3.2765751852683523e-07,3.766325329589489,2.476349567094513,0.04364317095305814,71.98360213030435,5
1,0,0,0,1,0,1,1,1,0,0.2680536371634533,0.026868166970461568,0.008507103033665404,0.00120221896076006,3.7270833758880008e-06,0.0001852969307092603,9.438340777048142e-07,2.662109171975411,2.229332860591426,0.07864356690011687,39.94722998233089,2
0,1,1,0,0,1,0,0,1,1,0.3188657511351386,0.0661821297313439,0.0016061656575516409,0.0002112398884386488,1.742418588203104e-08,-2.939655072815802e-05,1.2180364336938344e-07,3.2256196602995413,2.6938247794702757,0.06472663614123544,48.53631890794918,3
1,1,1,1,1,0,0,0,0,0,0.3137888729761616,0.04988979038926579,0.007014550521278402,0.0009322965637409175,2.268132211939826e-06,0.00017300837256350877,7.346300767646766e-07,3.658076669523267,2.2172216213425546,0.041423186717875496,75.84140435612817,6
0,1,1,1,1,1,0,0,0,0,0.3862604127062986,0.10711085645674821,0.0002686077257670583,5.59466192727086e-06,-2.0442050982877348e-10,1.8289152620533886e-06,-7.24520648137512e-11,4.207239176058612,3.301124242084363,0.04662377937033474,67.38176733027119,5
1,0,0,0,1,0,1,1,1,0,0.2987764081328997,0.0420305962177929,0.009680769861253574,0.0014407119132439743,5.375664085922793e-06,0.0002904554444295718,2.2749435613056405e-07,2.839851976378049,2.2822091965464817,0.07074635232249823,44.4064259209973,2
1,0,0,0,1,0,1,1,1,0,0.3090576458241309,0.04820455489065485,0.010728169577663047,0.002170323564184707,1.0092042268123606e-05,0.00044116045431620755,2.7970559808519346e-06,2.8804650456294674,2.392373211778307,0.07208480377975453,43.58189921954298,2
0,1,1,0,0,1,0,0,1,1,0.33548856704976626,0.0767243565133415,0.0020124752648252187,0.00021992062496771324,-7.193231095120765e-08,-5.106682980530617e-05,1.2740248560561363e-07,3.2980050805845704,2.750295444909381,0.06321450150344546,49.69734125671406,3
1,1,1,1,1,0,0,0,0,0,0.37321507553379246,0.0910322498355845,0.0028499220496416835,0.00045944167981666926,5.147905342840977e-07,0.00013860100821467484,-1.0668584641025112e-07,4.223324652953848,2.640590547924633,0.03701111236536706,84.8824164639137,6
